일시,랭킹 카테고리,순위,브랜드명,상품명
2024-02-29 11:00,전체,97,에스쁘아,[단독선런칭] 에스쁘아 립스틱 노웨어 바밍 글로우 3g / 7 colors
2024-02-29 11:00,전체,98,라로슈포제,라로슈포제 시카플라스트 밤B5+ 200ml 기획 (+시카토너 50ml+시카밤 3ml*2 증정)
2024-02-29 11:00,전체,99,실크테라피,[2/29 하루특가] 실크테라피 에센스 180ml 3종 택1 (오리지널/모이스쳐/본드앤씰)
2024-02-29 11:00,전체,100,토리든,토리든 다이브인 저분자 히알루론산 수딩크림 더블기획 (100ml+100ml)
2024-02-29 11:00,스킨케어,1,이니스프리,이니스프리 레티놀 시카 흔적 앰플 30ml 기획 (+7ml)
2024-02-29 11:00,스킨케어,2,피지오겔,[2/29 하루특가] 피지오겔 디멜라나이저 토닝 미백 앰플 세럼 20ml+4ml 한정 기획
2024-02-29 11:00,스킨케어,3,에스트라,[NEW] 에스트라 아토베리어365 크림 80ml 더블 기획
2024-02-29 11:00,스킨케어,4,VT,[아랑Pick] VT 리들샷 100 에센스 50ml
2024-02-29 11:00,스킨케어,5,차앤박,차앤박(CNP) 프로폴리스 액티브 앰플 30ml 트리플 기획 (+나이스웨더 파우치)
2024-02-29 11:00,스킨케어,6,VT,[2월 올영픽] VT 리들샷 300 에센스 50ml
2024-02-29 11:00,스킨케어,7,성분에디터,[홍현희PICK][2023어워즈/모공앰플] 성분에디터 그린토마토 포어 리프팅 앰플 플러스 30ml 더블 기획
2024-02-29 11:00,스킨케어,8,테라로직,[단독기획]테라로직 레티놀 안티 링클 3D 크림 20g+5g
2024-02-29 11:00,스킨케어,9,에스트라,[NEW] 에스트라 아토베리어365 로션 150ml+150ml 리필 기획
2024-02-29 11:00,스킨케어,10,바이오더마,[40ml 정품증정/한정기획]바이오더마 시카비오 포마드 100ml 기획 (+40ml)
2024-02-29 11:00,스킨케어,11,에스네이처,[2023어워즈] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획 (60ml+30ml)
2024-02-29 11:00,스킨케어,12,피지오겔,[한정기획] 피지오겔 데일리뮨 앰플 세럼 20ml+4ml+마스크팩1매 증정 기획
2024-02-29 11:00,스킨케어,13,구달,[한정기획] 구달 청귤 비타C 잡티케어 세럼 50ml+31ml 증정 기획
2024-02-29 11:00,스킨케어,14,코스알엑스,[2월 올영픽] 코스알엑스 더 비타민C 23 세럼 20g 더블 기획 (+펩타이드세럼 30ml*2)
2024-02-29 11:00,스킨케어,15,토리든,[단독기획] 토리든 다이브인 저분자 히알루론산 세럼 50ml 기획(+멀티패드 10매)
2024-02-29 11:00,스킨케어,16,토리든,[대용량기획] 토리든 다이브인 저분자 히알루론산 세럼 70ml 대용량 기획(+세럼 10ml)
2024-02-29 11:00,스킨케어,17,토리든,[단독기획] 토리든 다이브인 저분자 히알루론산 토너 300ml 기획(+100ml 추가 증정)
2024-02-29 11:00,스킨케어,18,넘버즈인,[피부결] 넘버즈인 3번 보들보들 결 세럼 50ml 기획 (+15ml 증정)
2024-02-29 11:00,스킨케어,19,아이디얼포맨,[5년연속1위]아이디얼 포 맨 퍼펙트 올인원 어워즈 한정 기획
2024-02-29 11:00,스킨케어,20,에스트라,[NEW]에스트라 아토베리어365 크림 80ml
2024-02-29 11:00,스킨케어,21,더랩바이블랑두,더랩바이블랑두 저분자 히알루론산 딥토너 500ml+238ml 리필캔 기획
2024-02-29 11:00,스킨케어,22,아비브,[2023어워즈] 아비브 어성초 카밍 토너 스킨부스터 더블 기획 (200ml+200ml)
2024-02-29 11:00,스킨케어,23,VT,[2월 올영픽] VT 리들샷 100 에센스 50ml 더블기획 (50ml+50ml)
2024-02-29 11:00,스킨케어,24,피지오겔,[대용량 초특가] 피지오겔 DMT 페이셜 크림 200ml 대용량 한정기획
2024-02-29 11:00,스킨케어,25,라로슈포제,라로슈포제 시카플라스트 밤B5+ 200ml 기획 (+시카토너 50ml+시카밤 3ml*2 증정)
2024-02-29 11:00,스킨케어,26,토리든,토리든 다이브인 저분자 히알루론산 수딩크림 더블기획 (100ml+100ml)
2024-02-29 11:00,스킨케어,27,더하르나이,[혜림쌤 PICK][단독기획]더하르나이 시카이드 크림 100ml + 30ml 기획
2024-02-29 11:00,스킨케어,28,리얼베리어,[2월 올영픽 / 대용량 기획] 리얼베리어 익스트림 크림 70ml 1+1 기획 (+70ml)
2024-02-29 11:00,스킨케어,29,넘버즈인,[흔적미백] 넘버즈인 5번 글루타치온C 흔적 앰플 30ml+30ml 듀오기획
2024-02-29 11:00,스킨케어,30,에센허브,[인씨 Pick] 에센허브 티트리 100 오일 10ml 기획(+면봉 50P 증정)
2024-02-29 11:00,스킨케어,31,바이오힐보,[리필 증정]바이오힐보 프로바이오덤 3D 리프팅크림 50ml 리필기획
2024-02-29 11:00,스킨케어,32,파티온,[단독기획/대용량] 파티온 노스카나인 트러블 세럼 단독 기획(50ml+15ml)
2024-02-29 11:00,스킨케어,33,아벤느,아벤느 시칼파트 플러스 S.O.S 크림 100ml+100ml 더블 기획
2024-02-29 11:00,스킨케어,34,메이크프렘,[2월올영픽/대용량 기획 111ml] 메이크프렘 인테카 수딩크림 80ml 한정기획 (+인테카크림 31ml)
2024-02-29 11:00,스킨케어,35,한율,[최희 Pick] 한율 어린쑥크림 55ml+55ml+패드2매 한정기획
2024-02-29 11:00,스킨케어,36,넘버즈인,[수분광채] 넘버즈인 6번 푹잠 마스크팩 세럼 80ml 기획(+4번 SOS 얼음장팩)
2024-02-29 11:00,스킨케어,37,닥터지,[2세대 천만크림] 닥터지 레드 블레미쉬 클리어 수딩 크림 70ml+30ml 세트
2024-02-29 11:00,스킨케어,38,웰라쥬,[형원PICK] 웰라쥬 리얼 히알루로닉 블루 100 앰플 100ml 기획 (+원데이키트2ea)
2024-02-29 11:00,스킨케어,39,라네즈,[한정기획] 라네즈 크림스킨 170ml 리필 기획 (+170ml 리필)
2024-02-29 11:00,스킨케어,40,이즈앤트리,[올영픽/단독구성] 이즈앤트리 어니언 뉴페어 겔크림 80ml 대용량 기획 (+겔크림20ml+패드2매)
2024-02-29 11:00,스킨케어,41,셀리맥스,[단독기획] 셀리맥스 더 리얼 노니 에너지 앰플 40ml 더블 기획 (40ml*2ea)
2024-02-29 11:00,스킨케어,42,메디큐브,[하루 모공세럼] 메디큐브 제로 모공 원데이 세럼 30ml
2024-02-29 11:00,스킨케어,43,넘버즈인,[피부결] 넘버즈인 3번 보들보들 결 세럼 80ml 기획(+3번 결 세럼팩)
