2024/02/18 01:01:30 올리브영 랭킹
랭킹 카테고리,순위,브랜드명,상품명,링크,카테고리
전체,40,라보에이치,[2023 어워즈 샴푸 1위] 라보에이치 두피강화 샴푸 탈모증상완화 750ML 어워즈 한정기획(+120ML 2개),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000192831&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=40,05 > 헤어 세정류 > 샴푸
전체,41,바이오더마,[40ml 정품증정/한정기획]바이오더마 시카비오 포마드 100ml 기획 (+40ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199489&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=41,01 > 스킨케어 > 크림
전체,42,메디힐,메디힐 비타 에센셜 마스크 1매,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000160664&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=42,01 > 마스크팩 > 시트팩
전체,43,오쏘몰,"[한정기획] 오쏘몰 이뮨 멀티비타민&미네랄 14입 (+1입,파우치 증정)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000193086&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=43,07 > 건강기능식품 > 비타민/미네랄(기능식품)
전체,44,VT,VT 리들샷 700 에센스 30ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000192301&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=44,01 > 스킨케어 > 에센스
전체,45,하트퍼센트,[2월 올영픽] 하트퍼센트 도트 온 무드 립펜슬 20colors (단품/한정기획),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000174066&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=45,02 > 립 메이크업 > 립라이너
전체,46,코스알엑스,[2월 올영픽] 코스알엑스 더 비타민C 23 세럼 20g 더블 기획 (+펩타이드세럼 30ml*2),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198976&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=46,01 > 스킨케어 > 에센스
전체,47,브링그린,브링그린 프레시마스크 1매 5종,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000185111&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=47,01 > 마스크팩 > 시트팩
전체,48,에뛰드,[2월올영PICK] 에뛰드 마이 베스트 톤 아이 팔레트 기획 (+교체용2구/이니셜키링),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198822&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=48,02 > 아이 메이크업 > 아이섀도우
전체,49,투크,[NEW도화살몬] 투크 워터프루프 슬림 아이라이너 10colors,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000185046&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=49,02 > 아이 메이크업 > 아이라이너
전체,50,클리오,[NEW] 클리오 샤프 쏘 심플 워터프루프 펜슬라이너,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198343&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=50,02 > 아이 메이크업 > 아이라이너
전체,51,에스트라,에스트라 아토베리어365 하이드로에센스 200ml 기획 (+크림 30ml+무기자차선크림3ml 증정),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000184191&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=51,01 > 스킨케어 > 에센스
전체,52,에스쁘아,에스쁘아 비글로우 뉴클래스 쿠션 단독기획 (본품+리필+체리퍼프+비글로우 파운데이션 7ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000174063&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=52,02 > 베이스 메이크업 > 쿠션
